eg,en,jo,msa,pa,sy,tn,prompt,response
الصديق يقف جنب صديقه فى السراء ووالضراء مايتكسفش منه فى اى حاجة يفرح لفرحه ويزعل لزعله يكون رأيه حكيم معاك,"a friend stands by his friend in good times and in bad, is not embarrassed by him for any reason, is happy for his happiness and sad for his sadness, he has a wise opinion for you",الصديق بيوقف جنب صديقو في الفرح والحزن ما بيخجل منو بأي اشي بفرح لفرحو وبزعل لزعلو وبعطيك رأي صحيح,الصديق يقف الى جانب صديقه فى السراء و فى الضراء ولا يخجل منه فى أى شىء ، يفرح لفرحه و يحزن لحزنه و يشاركك الرأى الحكيم,الصديق بكون دايما جنب صديقه في السراء والضراء وما بخجل منه وبفرح لفرحه وبحزن لحزنه وبيحاول يدله على الصح,الرفيق بيوقف جنب رفيقو في السراء والضراء وما بيخجل منو في أي شي بيفرح لفرحه وبيزعل لزعلو ويكون رأيه مظبوط معه,الصاحب ياقف مع صاحبو في الباهي و الخايب ما يحشمش منو يفرح لفرحو و يحزن لحزنو ويكون حكيم في رأيه معاك,"<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.الصديق يقف الى جانب صديقه فى السراء و فى الضراء ولا يخجل منه فى أى شىء ، يفرح لفرحه و يحزن لحزنه و يشاركك الرأى الحكيم
Source: a friend stands by his friend in good times and in bad, is not embarrassed by him for any reason, is happy for his happiness and sad for his sadness, he has a wise opinion for you
Translation: ",صديق يقف الى جانب صديقه فى السراء و فى الضراء ولا يخجل منه فى أى شىء ، يفرح لفرحه و يحزن لحزنه و يشاركك الرأى الحكيم
علشان نصور المكوة والقريش ..,To film ironing and cheese.,علشان نصور المكوة والجبنة,حتى نصور المكواه والجبن,علشان نصور المكوة والقريش ..,مشان نصور المكوية والفرش ....,باش نصوروا مكة و قريش,"<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.حتى نصور المكواه والجبن
Source: To film ironing and cheese.
Translation: ","للفيلم عن تغليب النعناع والجبن
في مقابل للفيلم عن تغليب النعناع والجبن"
أنا مش أغلى من الدره ...,I am not more expensive than a pearl...,انا مش اغلى من الجوهرة,انا لست أغلى من الدره .,انا مش اغلى من الدره ...,"أنا مو أغلى من الدره ,,,,,",انا مانيش اغلى من الدرة,"<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.انا لست أغلى من الدره .
Source: I am not more expensive than a pearl...
Translation: ",أنا لا أكون أكثر أغرب من الدره.
ويا تطلع البطيخه قرعه يا قرعه,And the watermelon will be bald anyway,البطيخة رح تطلع قرعة بكل الاحوال,و على اى حال نكتشف ان البطيخة فاسدة,ويا تطلع البطيخه تفله يا تفله,ويا تطلع البطيخة قرعه يا قرعه,البطيخة يا تطلع قرعة ولا قرعة,"<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.و على اى حال نكتشف ان البطيخة فاسدة
Source: And the watermelon will be bald anyway
Translation: ",و على اى حال نكتشف ان البطيخة فاسدة
رحت راقعة بالعكاز فى ام نافوخه رحت مسيح دمه,"so I hit him with a stick in his head, so I wiped his blood",ضربتو بالعكازة في نص راسو طيحت دمو,و قمت بضربه بالعصا على رأسه فغرق فى دمائه,ضربته بالعصا  على راسه ونزلتله دمه,رح ضربتها بالعكازه هي نص راسو  وخليت الدم للركب,ضربتلوا راسوا بالعكاز كسرتهولوا و سيحت دموا,"<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.و قمت بضربه بالعصا على رأسه فغرق فى دمائه
Source: so I hit him with a stick in his head, so I wiped his blood
Translation: ",و قمت بضربه بالعصا على رأسه فغرق فى دمائه
ازيك واكيف اخبارك,"How are you, and what are your news",كيفك شو اخبارك؟,كيف حالك و كيف اخبارك ؟,كيف حالك وشو اخبارك ؟,كيفك وشو أخبارك ؟,شنحوالك شعامل,"<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.كيف حالك و كيف اخبارك ؟
Source: How are you, and what are your news
Translation: ",كيف حالك و كيف اخبارك ؟
إنت هتخش الجنة وأنا هاخش النار وهتعمل كل الحرام اللي أنا باعمله,"you'll be in the heavem and I'll be in the hell fire, and you'll do all what is prohibited that I do",انت رح تدخل الجنة وانا النار ورح تعمل كل الحرام الي انا بعملو,إنت سوف تدخل الجنة وأنا سوف أدخل النار وسوف تفعل كل الحرام الذى أفعله,انت رح تدخل الجنه وانا بدخل النار حتى لو عملت نفس الحرام اللي انا عملته,إنت رح تدخل الجنة وأنا رح أدخل النار ورح تعمل كل الحرام الي أنا بعملو,انت باش تدخل الجنة وانا باش ندخل النار و باش تعمل الحرام الكل اللي انا نعمل فيه,"<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.إنت سوف تدخل الجنة وأنا سوف أدخل النار وسوف تفعل كل الحرام الذى أفعله
Source: you'll be in the heavem and I'll be in the hell fire, and you'll do all what is prohibited that I do
Translation: ",إنت سوف تدخل الجنة وأنا سوف أدخل النار وسوف تفعل كل الحرام الذى أفعله
والدكتور شعر بخيبة آمل ولكنه أتفاجأ بأيد مرفوعة علي استحياء انها يد وسيم,"The doctor was disappointed, but he got surprised with a shyly raising hand it was Waseem's hand","والدكتور خاب املو بس اتفاجأ بايد مرفوعة بخجل , ايد وسيم",والدكتور شعر بخيبة آمل ولكنه تفاجأ بأيد مرفوعة علي إستحياء إنها يد وسيم,حس الدكتور بخيبة امل بس تفاجأ بايد مرفوعة بتردد وهي ايد وسيم,والدكتور حس بخيبة أمل بس  أتفاجأ بأيد مرفوعة على خجل هي أيد وسيم,و الطبيب حس بخيبة امل اما اتفا جأ بيدين مهزوزة و طلعت يد سليم,"<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.والدكتور شعر بخيبة آمل ولكنه تفاجأ بأيد مرفوعة علي إستحياء إنها يد وسيم
Source: The doctor was disappointed, but he got surprised with a shyly raising hand it was Waseem's hand
Translation: ",والدكتور شعر بخيبة آمل ولكنه تفاجع بأيد مرفوعة علي إستحياء إنها يد وسيم
ومن شرهن ده لما كانو طيبين وبحالهن قال ربنا عنهم ان كيدهن عظي,"and from their evil, and when they were kind god said about them Truly mighty is women snare",ومن شرهن هاد ربنا حكى عنهم ان كيدهن عظيم,و عن شرهن عندما كانوا طيبات و قال الله عنهم إن كيدهن عظيم,ومن شرهم هدا وزمان وهن طيبات في حالهن الله قال عنهن ان كيدهن عظيم,ومن شرهن هاد لما كانو طيبين وبحالن قال الله عنهم ( إن كيدهن عظيم ),ومن شرهم هذا كيف كانو طيبين و رايضين ربي قال عليهم ان كيدهن عظيم,"<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.و عن شرهن عندما كانوا طيبات و قال الله عنهم إن كيدهن عظيم
Source: and from their evil, and when they were kind god said about them Truly mighty is women snare
Translation: ","و عن شرهن عندما كانوا طيبات و قال الله عنهم إن كيدهن عظيم
Translation: and from their evil, and when they were kind god said about them Truly mighty is women snare"
احنا لازم نعرف اننا مهزومين ونعترف بكدة لكن لازم نعرف ان االعدو مش ممكن يبقى صديق ولازم نعلم ولادنا ان ده عدونا,"We must know and admit that we were Defeated, but we must know the enemy will never turn into a friend, and we must teach our sons and daughter that this is our enemy.",احنا لازم نعترف انا مغلوبين ولازم نعرف انو العدو مستحيل يكون صديق ولازم نحكي لولادنا مين هو عدونا,من المهم معرفة اننا قد هزمنا و نعترف بذلك و لكن يجب معرفة ان العدو لا يمكن ان يكون صديق و نعلم ابنائنا ان هذا عدونا,احنا لازم نعترف بالهزيمه بس لازم نعرف كمان انو العدو ولا مره ممكن يصير صديق وواجب علينا نبين لولادنا انو هدا عدونا,نحنا لازم نعرف أننا خسارنين ونعترف بهيك لكن لازم نعرف أن العدو مو  ممكن أنو صديق ولازم نعلم ولادنا أنو هاد عدونا,احنا لازم نعرفوا انا تغلبنا و نستعرفوا اما لازم نعرفوا اللي العدو ما ينجمش يولي صاحب و لازم نقول لولادنا ان هذاكا عدونا,"<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.من المهم معرفة اننا قد هزمنا و نعترف بذلك و لكن يجب معرفة ان العدو لا يمكن ان يكون صديق و نعلم ابنائنا ان هذا عدونا
Source: We must know and admit that we were Defeated, but we must know the enemy will never turn into a friend, and we must teach our sons and daughter that this is our enemy.
Translation: ",نعرف و نعترف على أننا هزمنا، و لكن يجب على نسبة العدو أن يكون صديقًا، و نعلم أبناءنا أن هذا عدونا
انا شفتها تمانيه بس هقول ايه هتنزل المره دى مروان,i did see here but i'll say what are you going to download this time Marwan,انا شفتها هون بس شو رح احكي شو بتنزل مروان,انى رايتها ثمانيه و لكن ماذا اقول سوف تسقط هذه المره يا مروان,رح تنزل المره هاي يا مروان ان شفتها ثمانيه بس شو بدي احكي,أنا شفتها تمانية بس رح قول شو رح تنزل المرة هي مروان,أنا ريتها مع ثمانية وإنت باش تهبط توا يا مروان,"<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.انى رايتها ثمانيه و لكن ماذا اقول سوف تسقط هذه المره يا مروان
Source: i did see here but i'll say what are you going to download this time Marwan
Translation: ",انا رايتها ثمانيه و لكن ماذا اقول سوف تسقط هذه المره يا مروان
ونستغل زكائنا ونختبر الانسان اللي ارتبطنا بيه واللي هنعيش معاه بقيت عمرنا,and exploits our intelligent and tested human who link with him and will live with him rest of our life,لازم نستغل ذكائنا ونختبر الانسان الي ارتبطنا فيه واللي رح نعيش معو طول عمرنا,ونستغل ذكائنا ونختبر الإنسان الذى إرتبطنا به وسوف نعيش معه باقى العمر,وبذكائنا بنختبر الانسان اللي ارتبطنا فيه واللي بدنا نعيش معه لاخر حياتنا,وبنحاول نستغل زكائنا ونختبر الأنسان اللي ارتبطنا فيه  واللي رح نعيش معو باقي عمرنا,و نستغل ذكائنا و نجرب العبد اللي ارتبطنا بيه واللي باش نكمل معاه حياتي,"<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.ونستغل ذكائنا ونختبر الإنسان الذى إرتبطنا به وسوف نعيش معه باقى العمر
Source: and exploits our intelligent and tested human who link with him and will live with him rest of our life
Translation: ",ونستغل ذكائنا ونختبر الإنسان الذى إرتبطنا به وسوف نعيش معه باقى العمر
بص هو فعلا موضوع الحفلات فى الجامعه ده مش صح اساسا لان المفروض ان الجامعه دى مكان للتعليم ده المفروض يعنى والحفلات دى ليها اماكنها,listen really the party topic at the university is not true because basically the university is a place for teaching this is basically which means that the party has its own place,شوف هو موضوع الحفلات بالجامعة مش صح لانو الجامعة مكان تعليم والحفلات الها اماكنها,اسمع، موضوع الحزب في الجامعة ليس صحيحاً لأن الجامعة في الأساس هي مكان للتعليم وهذا يعني أن الحزب له مكانه الخاص,شوف هو عمل الحفلات في الجامعه اصلا مش صح لانو هو مكان للتعليم مش مكان رقص واغاني والحفلات الها امكن خاصه هيك المفروض,شوف هو فعلا موضوع الحفلات في الجامعة هاد مو صح اساسا لأنو المفروض انو الجامعة هي مكان للتعليم هاد المفروض يعني والحفلات هي الها أماكنها,شوف هو بالحق موضوع الحفلات فى الجامعة موش صحيح جملة على خاطر المفروض ان الجامعة نقراو فيها هذا هو المفروض والحفلات هاذي ليها بقعتها,"<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.اسمع، موضوع الحزب في الجامعة ليس صحيحاً لأن الجامعة في الأساس هي مكان للتعليم وهذا يعني أن الحزب له مكانه الخاص
Source: listen really the party topic at the university is not true because basically the university is a place for teaching this is basically which means that the party has its own place
Translation: ",اسمع، موضوع الحزب في الجامعة ليس صحيحاً لأن الجامعة في الأساس هي مكان للتعليم وهذا يعني أن الحزب له مكانه الخاص
البرنامج ده تدخله ملف مكتوب او اى حاجة مكتوبة يخرجها من الناحية التانية ملف صوت متسجل بالكلام اللى مكتوب فى الورقة على هيئة امتداد,that program enter written file or any written things will extract from other side as audio file recorded with what written in the paper on shape of extension,هاد البرنامج بتدخلو ملف مكتوب من جهة وبطلعو ملف صوت بالحكي المكتوب من الجهة التانية بامتداد,قم بإدخال ملف مكتوب على هذا البرنامج يقوم بإخراجها كملف صوتى مُسجل بالكلام الذى كُتِب فى الملف كما يتغير إمتداده,الية عمل هدا البرنامج انو بتدخله البانات مكتوبه بطلعها صوت مسجل بالكلمات المكتوبه على الورقه على شكل امتداد,البرنامج هاد رح تدخله ملف مكتوب أو أي شي مكتوبة يخرج من الناحية التانية ملف صوت مسجل بالكلام الي مكتوب في الورقة على شكل أمتداد,هالبرنامج تدخلو ملف مكتوب ولا اى حاجة مكتوبة يخرجها من ا لجهة لخرى ملف صوت متسجل بالكلام اللى مكتوب فى الورقة على هيئة امتداد,"<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.قم بإدخال ملف مكتوب على هذا البرنامج يقوم بإخراجها كملف صوتى مُسجل بالكلام الذى كُتِب فى الملف كما يتغير إمتداده
Source: that program enter written file or any written things will extract from other side as audio file recorded with what written in the paper on shape of extension
Translation: ",يقوم بإخراجها كملف صوتى مُسجل بالكلام الذى كُتِب فى الملف كما يتغير إمتداده
ابو وطن صباح شريف معاليك,"the father of this nation, good morning your honor",ابو وطن صاح شريف معاليك,ابو وطن صباح الخير سيادتك,صباح شريف معالي ابو وطن,أبو وطن صباح سعادتك,بو وطن صباح شريف يا سيدي,"<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.ابو وطن صباح الخير سيادتك
Source: the father of this nation, good morning your honor
Translation: ",ابو وطن صباح الخير سيادتك
بافرح اوي برضه من كلمات التدعيم و ان حد كلف نفسه ووقف يعلق بكلمه شايف انها ممكن تخفف عني ،,I get very happy also for the supporting words and that someone troubled himself and stopped to comment with a word that he thinks it could ease things up for me.,كتير بنبسط من كلمات التشجيع وانو حدا وقف يحكي يخفف عني,اكون سعيد ايضا من كلمات التدعيم و اذا شخص تكرم و علق بكل كلمه راها انها ستخفف عنى,بفرح كتير كمان من الكلام اللي بدعمني ولو في حدا يقولي كلام ممكن  يخفف عني يقوله,أنا بفرح كتير كمان من كلمات الي بتدعم الشخص وأن واحد كلف حالو ووقف يعلق بكلمة  هو شايف أنو هالكلمة ممكن  تخفف عني,راني نفرح عالاخر كي نلقى شكون يواسيني ويقف معايا,"<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.اكون سعيد ايضا من كلمات التدعيم و اذا شخص تكرم و علق بكل كلمه راها انها ستخفف عنى
Source: I get very happy also for the supporting words and that someone troubled himself and stopped to comment with a word that he thinks it could ease things up for me.
Translation: ",أنا أشعر بالسعادة أيضاً من كلمات التدعيم و إذا كان شخص يتكرم و يعلق بكل كلمة راها إنها ستخفف عنى
ده أخطر بكثير من حد بيزايد على أهداف سويف أو محمد بكري و برضه,this is more danger from one Gambling on souif or mohamrd bakry targets and also,هاد اخطر بكتير من حدا بزايد على اهداف سويف او محمد بكري وبوضو,هذا إخطر بكثير من أن أحد يراهن على أهداف سويف أو محمد بكرى أيضاً,هدا اخطر بكثير من حدا بيزايد على اهداف سويف او محمد بكري وكمان,هاد أخطر من حدا بيناسف على أهداف سويف أو محمد بكري,هذا اخطر ببرشة من حد يعلق على اهداف سويف ولا محمد بكري,"<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.هذا إخطر بكثير من أن أحد يراهن على أهداف سويف أو محمد بكرى أيضاً
Source: this is more danger from one Gambling on souif or mohamrd bakry targets and also
Translation: ",هذا إخطر بكثير من أن أحد يراهن على أهداف سويف أو محمد بكرى أيضاً
ولا ايه اعتبرها قعدة زي قعدة ههه ربنا يوفقك,"or what? consider it a sitting like any sitting...haha, may god help you",ولا شو اعتبر قعدة زيه هاي القعدة الله يوفقك,ولقد  اعتبرها   جلسه مثل   جلسه .... هههه    وفقك  الله .,ولا شو اعتبرها قعده زي قعدة ههه الله يفرجها عليك,ولا شو اعتبرها قعدة متل قعدة هههههه  الله يوفقك,ولا شنوى حسبتها قاعدة كيما قاعدة ربي معاك,"<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.ولقد  اعتبرها   جلسه مثل   جلسه .... هههه    وفقك  الله .
Source: or what? consider it a sitting like any sitting...haha, may god help you
Translation: ",أو ما؟ أعتبرها جلسة كالجلسة... هههه وفقًا إلى الله.أو ما؟ أعتبرها جلسة كالجلسة... هههه وفقًا إلى الله.أو ما؟ أعتبرها جلسة كالجلسة... هههه وفقًا إلى الله.أو ما؟ أعتبرها جلسة كالجلسة... هههه وفقًا إلى الله.أو ما؟ أعتبرها جلسة كالجلسة... هههه وفقًا إلى الله.أو ما؟ أعتبرها جلسة كالجلسة... هههه وفقًا إلى الله.أو ما؟ أعتبرها جلسة كالجلسة... هههه وفقًا إلى الله.أو ما؟ أعتبرها جلسة كالجلسة... هههه وفقًا إلى الله.أو ما؟ أعتبرها جلسة كالجلسة... هههه وفقًا إلى الله.أو ما؟ أعتبرها جلسة كالجلسة... هههه وفقًا إلى الله.أو ما؟ أعتبرها جلسة كالجلسة... هههه وفقًا إلى الله.أو ما؟ أعتبرها جلسة كالجلسة... هههه وفقًا إلى الله.أو ما؟ أعتبرها جلسة كالجلسة... هههه وف
وتحياتي لك استاذ محمد نبيل,and my greetings Mr Mohammad Nabeel,تحياتي استاز محمد نبيل,و تحياتى لك استاذ محمد نبيل,وتحياتي استاذ  محمد نبيل,وسلامي الك يا استاذ محمد نبيل,وتحياتي ليك استاذ محمد نبيل,"<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.و تحياتى لك استاذ محمد نبيل
Source: and my greetings Mr Mohammad Nabeel
Translation: ",و تحياتى لك استاذ محمد نبيل
يبقى نجيب كام كتاب بيتكلم على المقاييس,We will bring a couple of books that talks about standards,بنجيب اكم كتاب بحكي عن المقاييس,سنحضر عدة كتب تناقش موضوع المقاييس,معناها نجيب اكم كتاب عن المقاييس,بيبقى نجيب كم كتاب بيحكي عن المقاييس,نوليو نجيبوا شويا كتب يحكيو على المقاييس,"<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.سنحضر عدة كتب تناقش موضوع المقاييس
Source: We will bring a couple of books that talks about standards
Translation: ",سنحضر عدة كتب تناقش موضوع المقاييس
ههه بس دول ياعيني قصتهم خلصت من زمااان ههه,hhh but those their story finished in the past,ههه بس هدول قصتهم خلصت من زمان,لكن هؤلاء قصتهم انتهت فى الماضى,ههه بس هدول يا حرام من زمان خلصت قصتهم ههه,ههههه بس هدول يا عيني قصتهم خلصت من زمان ههههه,ههه اما هذوما حكايتهم وفاة عندها برشا ههه,"<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.لكن هؤلاء قصتهم انتهت فى الماضى
Source: hhh but those their story finished in the past
Translation: ",ههه، وهذا القصيرهم منته في الماضي
يبقي يستاهل القتل,Then he deserves to be killed,اذا بستاهل القتل,يكون مصيره القتل,معناها بستاهل الموت,معناها بيستاهل القتل,يولي يستاهل القتل,"<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.يكون مصيره القتل
Source: Then he deserves to be killed
Translation: ",ثم يكون مصيره القتل
خربان و نا نجار دواليبكم هي كده قسمتي ؟,it is corrupted..this is the carpenter of your wheels..this is my fate?,"خربان وانا نجار عجالكم , هاي قسمتي ونصيبي ؟",إنه لا يصلح وهذا نجار دوالبيكم ، هل هذا نصيبى ؟,خالص وانا عامل اشغالكم كلها هذي قسمتي ؟,خربان وأنا نجار خزناتكم هي هيك قسمتي بهالدنيا ؟,دوالبكم مخربين و انا نجار نصلحهم هذاك زهري؟,"<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.إنه لا يصلح وهذا نجار دوالبيكم ، هل هذا نصيبى ؟
Source: it is corrupted..this is the carpenter of your wheels..this is my fate?
Translation: ",هذا متكرر ، هذا هو جانب دوالبيكم ، هل هذا نصيبى ؟
وتنسي ان الذوق الداخلي تنسي انه تقول كلمه حلوه,"And forget about the inner taste , forget to say a sweet word",وتنسي تحكي كلمة حلوة من باب الذوق,و تنسى ان الذوق الداخلى ان تقول له كلمه جميله,وتنسى ان الذوق من الداخل وتنسى تحكي كلمه حلوه,وتنسى أن الذوق من جوا وتنسى تقول كلمة حلوة,تنجم تنسى بش تقول كلام حلو,"<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.و تنسى ان الذوق الداخلى ان تقول له كلمه جميله
Source: And forget about the inner taste , forget to say a sweet word
Translation: ",و تنسى ان الذوق الداخلى ان تقول له كلمه جميله
وانت اللي لك الاختيار في الاول والاخر,And you have the choice after all,اول عن اخر انت الي رح تختار,وأنت الذى تملك الأختيار فى جميع الأحوال,والاختيار برجعلك,وانت الي ألك الاختيار في الأول والأخير,وانت اللي تختار في الاول وفي الاخر,"<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.وأنت الذى تملك الأختيار فى جميع الأحوال
Source: And you have the choice after all
Translation: ",وأنت الذى تملك الأختيار فى جميع الأحوال
وميرسى اوى على التوبيك الجميل اوى ده وانا أحب اشكرك علي هذا الرد الجميل أما بخصوص الشباب فربنا يهدي الجميع يا رب الله يخليك,"Thanks a lot for the very nice topic and I would love to thank you for this nice reply! About the guys, god guide all! God bless you",وشكرا كتير على الموضوع الحلو كثير وبشكرك على الرد الحلو . اما بخصوص الشباب ف الله يهديهم .,و شكرا جداً على هذا الموضوع الجميل جدا و احب اشكرك ايضا على هذا الرد الجميل اما بخصوص الشباب ربنا يهدى الجميع,شكرا كتير على هالموضوع الحلو هدا وكمان بحب اشكرك على ردك المميز اما بخصوص الشباب بتمنى ربنا يهديهم والله يخليك,شكرا كتير على التوبيك الحلو كتير هاد وأنا بحب أشكرك  على هالرد الجميل أما بخصوص الشباب الله  يهدي الجميع يارب الله يخليك,ومرسي برشا على التوبيك لحلو هذا وانا نحب نشكرك على الجاست لحلوة اما الشباب ربي يهديهم وربي يخليك,"<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.و شكرا جداً على هذا الموضوع الجميل جدا و احب اشكرك ايضا على هذا الرد الجميل اما بخصوص الشباب ربنا يهدى الجميع
Source: Thanks a lot for the very nice topic and I would love to thank you for this nice reply! About the guys, god guide all! God bless you
Translation: ",شكرا جداً على هذا الموضوع الجميل جدا و احب اشكرك ايضا على هذا الرد الجميل اما بخصوص الشباب ربنا يهدى الجميع
لا الناس دى بتفهم بس انت عارف لو الاولمبياد دى فى الهند كنت ممكن اصدق ان هم بيعملوا الشعار كده,"no, those guys understand but you know what, if the Olympics were in India i would have believed that they could do the logo this way",لا الناس هاي بتفهم عارف لو الاولمبياد في الهند كنت ممكن اصدق انهم بعملو الشعار هيك,هؤلاء الاشخاص يفهمون و لكن انت تعرف اذا الاولمبياد كان فى الهند لكان من الممكن ان اصدق انهم يفعلون هذا الشعار,لا هدول بفهموا بس انت عارف لو الالومبياد هدي في الهند ممكن اصدق انو هم بيسووا هيك شعار,لا الناس هي بتقهم بس أنت بتعرف لو الأولمبيات هي في الهند كنت ممكن أصدق أن هن بيعملوا الشعار هاد,الناس هذوما ما يفهموش اما انت تعرف كان الالمبيادهاذي في الهنديمكن كنت نصدق اللي الشعار يعملوه هكا,"<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.هؤلاء الاشخاص يفهمون و لكن انت تعرف اذا الاولمبياد كان فى الهند لكان من الممكن ان اصدق انهم يفعلون هذا الشعار
Source: no, those guys understand but you know what, if the Olympics were in India i would have believed that they could do the logo this way
Translation: ","لا, هؤلاء الاشخاص يفهمون و لكن انت تعرف اذا الاولمبياد كان فى الهند لكان من الممكن ان اصدق انهم يفعلون هذا الشعار"
فى حين أن كل شاب يأنف أن يرتبط جديا بفتاة أخذ منها معظم ما يريد,While every guys that wants to be with a girl for real and take most of what he wants from her,كل شب بدو جد يرتبط ببنت اخذ منها كل الي بدو اياه,فى حين أن كل شاب يأنف أن يرتبط جديا بفتاة أخذ منها معظم ما يريد,من ناحيه ثانيه كل شب برفض يرتبط  بالبنت اللي اخذ منها اللي بدو اياه,في الأغالب أن كل شاب رح يرفض انو يرتبط بفتاة أخد منها معظم الي بدو ياه,فى حين أن كل شاب يأنف أن يرتبط جديا بفتاة أخذ منها معظم ما يريد,"<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.فى حين أن كل شاب يأنف أن يرتبط جديا بفتاة أخذ منها معظم ما يريد
Source: While every guys that wants to be with a girl for real and take most of what he wants from her
Translation: ",وفي حين أن كل شاب يأنف أن يرتبط جديا بفتاة أخذ منها معظم ما يريد
الرساله بقي اللي من النوعيه دي انا بعتز بيها جدا وبخليها عندي دائما,The letter of this type I appreciate it a lot and keep it for me always,الرسالة الي من النوعية هاي انا بعتز فيها كتير وبخليها عندي,الرسالة من هذة النوعية أنا أعتز بها جداً وأتركها عندى دائماً,الرساله اللي هيك انا بعتز فيها  كتير وبخليها معي دايما,الرسالة الي من هالنوعية أنا بتشرف فيها وبخليها عندي على طول,الجواب اللي من النوع هذا انا نعتز بيها برشا و نخليها ديما عندي,"<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.الرسالة من هذة النوعية أنا أعتز بها جداً وأتركها عندى دائماً
Source: The letter of this type I appreciate it a lot and keep it for me always
Translation: ",أنا أعتز بها جداً وأتركها عندى دائماً
وفى ناس بتزعل من بعض وحبايب بيتفرقوا عن بعض,And some people gets mad of each other and dear ones who leave each other,وفي ناس بزعلو من بعض وحبايب بتفرقو عن بعض,وبعض الناس يغضبون على بعضهم البعض والأعزاء يتركون بعضهم,وفي نا بتتزاعل وحبايب بفترقوا,وفي ناس بتزعل من بعض وحبايب بيتفرقوا عن بعض,فما ناس يتغششوا على بعضهم وأحباب يبعدوا على بعضهم,"<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.وبعض الناس يغضبون على بعضهم البعض والأعزاء يتركون بعضهم
Source: And some people gets mad of each other and dear ones who leave each other
Translation: ",وبعض الناس يغضبون على بعضهم البعض والأعزاء يتركون بعضهم
لكن الحقيقة أننا نسمع من بعضنا الطيب كلام ا ليس طيب ا,but the truth is that we hear good words from each other,الحقيقة انا بنسمع حكي حلو من بعضنا,ولكن الحقيقه إننا نسمع من بعضنا كلام طيب عن بعض,ولكن في الواقع بنسمع من البعض اللي ببين انو طيب( كلام مش طيب ),لكن الحقيقة أننا نسمع من بعضنا الكلام الطيب (ليس طيب ),اما الحقيقة اننا نسمعوا بعضنا كلام باهي و موش باهي,"<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.ولكن الحقيقه إننا نسمع من بعضنا كلام طيب عن بعض
Source: but the truth is that we hear good words from each other
Translation: ",ولكن الحقيقة أننا نسمع من بعضنا كلام طيب عن بعض
نشغله اغنية بنحبك يا حمار,"Play for him the song,  we love you ass",نشغلو اغنية بحبك يا حمار,نقوم بتشغيل أغنية بنحبك يا حمار,نشغله اغنية بنحبك يا حمار,رح نحطلك أغنية بحبك ياحمار,نحطولوا غناية بنحبك يا حمار,"<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.نقوم بتشغيل أغنية بنحبك يا حمار
Source: Play for him the song,  we love you ass
Translation: ",لعب له أغنية ، نحبك يا حمار
